,Study Fields
0,Acronym
1,AgreementOtherDetails
2,AgreementPISponsorEmployee
3,AgreementRestrictionType
4,AgreementRestrictiveAgreement
5,ArmGroupDescription
6,ArmGroupInterventionName
7,ArmGroupLabel
8,ArmGroupType
9,AvailIPDComment
10,AvailIPDId
11,AvailIPDType
12,AvailIPDURL
13,BaselineCategoryTitle
14,BaselineClassDenomCountGroupId
15,BaselineClassDenomCountValue
16,BaselineClassDenomUnits
17,BaselineClassTitle
18,BaselineDenomCountGroupId
19,BaselineDenomCountValue
20,BaselineDenomUnits
21,BaselineGroupDescription
22,BaselineGroupId
23,BaselineGroupTitle
24,BaselineMeasureCalculatePct
25,BaselineMeasureDenomCountGroupId
26,BaselineMeasureDenomCountValue
27,BaselineMeasureDenomUnits
28,BaselineMeasureDenomUnitsSelected
29,BaselineMeasureDescription
30,BaselineMeasureDispersionType
31,BaselineMeasureParamType
32,BaselineMeasurePopulationDescription
33,BaselineMeasureTitle
34,BaselineMeasureUnitOfMeasure
35,BaselineMeasurementComment
36,BaselineMeasurementGroupId
37,BaselineMeasurementLowerLimit
38,BaselineMeasurementSpread
39,BaselineMeasurementUpperLimit
40,BaselineMeasurementValue
41,BaselinePopulationDescription
42,BaselineTypeUnitsAnalyzed
43,BioSpecDescription
44,BioSpecRetention
45,BriefSummary
46,BriefTitle
47,CentralContactEMail
48,CentralContactName
49,CentralContactPhone
50,CentralContactPhoneExt
51,CentralContactRole
52,CollaboratorClass
53,CollaboratorName
54,CompletionDate
55,CompletionDateType
56,Condition
57,ConditionAncestorId
58,ConditionAncestorTerm
59,ConditionBrowseBranchAbbrev
60,ConditionBrowseBranchName
61,ConditionBrowseLeafAsFound
62,ConditionBrowseLeafId
63,ConditionBrowseLeafName
64,ConditionBrowseLeafRelevance
65,ConditionMeshId
66,ConditionMeshTerm
67,DelayedPosting
68,DesignAllocation
69,DesignInterventionModel
70,DesignInterventionModelDescription
71,DesignMasking
72,DesignMaskingDescription
73,DesignObservationalModel
74,DesignPrimaryPurpose
75,DesignTimePerspective
76,DesignWhoMasked
77,DetailedDescription
78,DispFirstPostDate
79,DispFirstPostDateType
80,DispFirstSubmitDate
81,DispFirstSubmitQCDate
82,EligibilityCriteria
83,EnrollmentCount
84,EnrollmentType
85,EventGroupDeathsNumAffected
86,EventGroupDeathsNumAtRisk
87,EventGroupDescription
88,EventGroupId
89,EventGroupOtherNumAffected
90,EventGroupOtherNumAtRisk
91,EventGroupSeriousNumAffected
92,EventGroupSeriousNumAtRisk
93,EventGroupTitle
94,EventsDescription
95,EventsFrequencyThreshold
96,EventsTimeFrame
97,ExpAccTypeIndividual
98,ExpAccTypeIntermediate
99,ExpAccTypeTreatment
100,ExpandedAccessNCTId
101,ExpandedAccessStatusForNCTId
102,FDAAA801Violation
103,FlowAchievementComment
104,FlowAchievementGroupId
105,FlowAchievementNumSubjects
106,FlowAchievementNumUnits
107,FlowDropWithdrawComment
108,FlowDropWithdrawType
109,FlowGroupDescription
110,FlowGroupId
111,FlowGroupTitle
112,FlowMilestoneComment
113,FlowMilestoneType
114,FlowPeriodTitle
115,FlowPreAssignmentDetails
116,FlowReasonComment
117,FlowReasonGroupId
118,FlowReasonNumSubjects
119,FlowReasonNumUnits
120,FlowRecruitmentDetails
121,FlowTypeUnitsAnalyzed
122,Gender
123,GenderBased
124,GenderDescription
125,HasExpandedAccess
126,HealthyVolunteers
127,IPDSharing
128,IPDSharingAccessCriteria
129,IPDSharingDescription
130,IPDSharingInfoType
131,IPDSharingTimeFrame
132,IPDSharingURL
133,InterventionAncestorId
134,InterventionAncestorTerm
135,InterventionArmGroupLabel
136,InterventionBrowseBranchAbbrev
137,InterventionBrowseBranchName
138,InterventionBrowseLeafAsFound
139,InterventionBrowseLeafId
140,InterventionBrowseLeafName
141,InterventionBrowseLeafRelevance
142,InterventionDescription
143,InterventionMeshId
144,InterventionMeshTerm
145,InterventionName
146,InterventionOtherName
147,InterventionType
148,IsFDARegulatedDevice
149,IsFDARegulatedDrug
150,IsPPSD
151,IsUSExport
152,IsUnapprovedDevice
153,Keyword
154,LargeDocDate
155,LargeDocFilename
156,LargeDocHasICF
157,LargeDocHasProtocol
158,LargeDocHasSAP
159,LargeDocLabel
160,LargeDocTypeAbbrev
161,LargeDocUploadDate
162,LastKnownStatus
163,LastUpdatePostDate
164,LastUpdatePostDateType
165,LastUpdateSubmitDate
166,LeadSponsorClass
167,LeadSponsorName
168,LimitationsAndCaveatsDescription
169,LocationCity
170,LocationContactEMail
171,LocationContactName
172,LocationContactPhone
173,LocationContactPhoneExt
174,LocationContactRole
175,LocationCountry
176,LocationFacility
177,LocationState
178,LocationStatus
179,LocationZip
180,MaximumAge
181,MinimumAge
182,NCTId
183,NCTIdAlias
184,OfficialTitle
185,OrgClass
186,OrgFullName
187,OrgStudyId
188,OrgStudyIdDomain
189,OrgStudyIdLink
190,OrgStudyIdType
191,OtherEventAssessmentType
192,OtherEventNotes
193,OtherEventOrganSystem
194,OtherEventSourceVocabulary
195,OtherEventStatsGroupId
196,OtherEventStatsNumAffected
197,OtherEventStatsNumAtRisk
198,OtherEventStatsNumEvents
199,OtherEventTerm
200,OtherOutcomeDescription
201,OtherOutcomeMeasure
202,OtherOutcomeTimeFrame
203,OutcomeAnalysisCILowerLimit
204,OutcomeAnalysisCILowerLimitComment
205,OutcomeAnalysisCINumSides
206,OutcomeAnalysisCIPctValue
207,OutcomeAnalysisCIUpperLimit
208,OutcomeAnalysisCIUpperLimitComment
209,OutcomeAnalysisDispersionType
210,OutcomeAnalysisDispersionValue
211,OutcomeAnalysisEstimateComment
212,OutcomeAnalysisGroupDescription
213,OutcomeAnalysisGroupId
214,OutcomeAnalysisNonInferiorityComment
215,OutcomeAnalysisNonInferiorityType
216,OutcomeAnalysisOtherAnalysisDescription
217,OutcomeAnalysisPValue
218,OutcomeAnalysisPValueComment
219,OutcomeAnalysisParamType
220,OutcomeAnalysisParamValue
221,OutcomeAnalysisStatisticalComment
222,OutcomeAnalysisStatisticalMethod
223,OutcomeAnalysisTestedNonInferiority
224,OutcomeCategoryTitle
225,OutcomeClassDenomCountGroupId
226,OutcomeClassDenomCountValue
227,OutcomeClassDenomUnits
228,OutcomeClassTitle
229,OutcomeDenomCountGroupId
230,OutcomeDenomCountValue
231,OutcomeDenomUnits
232,OutcomeGroupDescription
233,OutcomeGroupId
234,OutcomeGroupTitle
235,OutcomeMeasureAnticipatedPostingDate
236,OutcomeMeasureCalculatePct
237,OutcomeMeasureDenomUnitsSelected
238,OutcomeMeasureDescription
239,OutcomeMeasureDispersionType
240,OutcomeMeasureParamType
241,OutcomeMeasurePopulationDescription
242,OutcomeMeasureReportingStatus
243,OutcomeMeasureTimeFrame
244,OutcomeMeasureTitle
245,OutcomeMeasureType
246,OutcomeMeasureTypeUnitsAnalyzed
247,OutcomeMeasureUnitOfMeasure
248,OutcomeMeasurementComment
249,OutcomeMeasurementGroupId
250,OutcomeMeasurementLowerLimit
251,OutcomeMeasurementSpread
252,OutcomeMeasurementUpperLimit
253,OutcomeMeasurementValue
254,OverallOfficialAffiliation
255,OverallOfficialName
256,OverallOfficialRole
257,OverallStatus
258,OversightHasDMC
259,PatientRegistry
260,Phase
261,PointOfContactEMail
262,PointOfContactOrganization
263,PointOfContactPhone
264,PointOfContactPhoneExt
265,PointOfContactTitle
266,PrimaryCompletionDate
267,PrimaryCompletionDateType
268,PrimaryOutcomeDescription
269,PrimaryOutcomeMeasure
270,PrimaryOutcomeTimeFrame
271,ReferenceCitation
272,ReferencePMID
273,ReferenceType
274,RemovedCountry
275,ResponsiblePartyInvestigatorAffiliation
276,ResponsiblePartyInvestigatorFullName
277,ResponsiblePartyInvestigatorTitle
278,ResponsiblePartyOldNameTitle
279,ResponsiblePartyOldOrganization
280,ResponsiblePartyType
281,ResultsFirstPostDate
282,ResultsFirstPostDateType
283,ResultsFirstPostedQCCommentsDate
284,ResultsFirstPostedQCCommentsDateType
285,ResultsFirstSubmitDate
286,ResultsFirstSubmitQCDate
287,RetractionPMID
288,RetractionSource
289,SamplingMethod
290,SecondaryId
291,SecondaryIdDomain
292,SecondaryIdLink
293,SecondaryIdType
294,SecondaryOutcomeDescription
295,SecondaryOutcomeMeasure
296,SecondaryOutcomeTimeFrame
297,SeeAlsoLinkLabel
298,SeeAlsoLinkURL
299,SeriousEventAssessmentType
300,SeriousEventNotes
301,SeriousEventOrganSystem
302,SeriousEventSourceVocabulary
303,SeriousEventStatsGroupId
304,SeriousEventStatsNumAffected
305,SeriousEventStatsNumAtRisk
306,SeriousEventStatsNumEvents
307,SeriousEventTerm
308,StartDate
309,StartDateType
310,StatusVerifiedDate
311,StdAge
312,StudyFirstPostDate
313,StudyFirstPostDateType
314,StudyFirstSubmitDate
315,StudyFirstSubmitQCDate
316,StudyPopulation
317,StudyType
318,SubmissionMCPReleaseN
319,SubmissionReleaseDate
320,SubmissionResetDate
321,SubmissionUnreleaseDate
322,TargetDuration
323,UnpostedEventDate
324,UnpostedEventType
325,UnpostedResponsibleParty
326,VersionHolder
327,WhyStopped
